title,icons,price,image,Name,address,link,transportation,latitude,longitude
        queen bed      ,desk,269,"<div class=""roomimages"" style=""width: 100%; height: 400px; position: relative; overflow: hidden;"">
<div style=""width: 100%; height: 100%; background-image: url(/data/deposits/www.carlton.reserve.unilodge.com.au/galleryimage.1835.image/image.1040x400.jpg); background-size: cover; background-position: center;""></div>
<div style=""width: 100%; height: 100%; background-image: url(/data/deposits/www.carlton.reserve.unilodge.com.au/galleryimage.1838.image/image.1040x400.jpg); background-size: cover; background-position: center;""></div>
<div style=""width: 100%; height: 100%; background-image: url(/data/deposits/www.carlton.reserve.unilodge.com.au/galleryimage.1841.image/image.1040x400.jpg); background-size: cover; background-position: center;""></div>
</div>",unilodge carlton - standard rooms,"609 swanston street, carlton victoria 3053 australia",https://www.reserve.unilodge.com.au/categoryinfo.html?category=382,6-minute walk,-37.80406590625,144.96307744375
        single bed      ,desk,269,"<div class=""roomimages"" style=""width: 100%; height: 400px; position: relative; overflow: hidden;"">
<div style=""width: 100%; height: 100%; background-image: url(/data/deposits/www.carlton.reserve.unilodge.com.au/galleryimage.1893.image/image.1040x400.jpg); background-size: cover; background-position: center;""></div>
<div style=""width: 100%; height: 100%; background-image: url(/data/deposits/www.carlton.reserve.unilodge.com.au/galleryimage.1899.image/image.1040x400.jpg); background-size: cover; background-position: center;""></div>
</div>",unilodge carlton - standard rooms,"609 swanston street, carlton victoria 3053 australia",https://www.reserve.unilodge.com.au/categoryinfo.html?category=382,6-minute walk,-37.80406590625,144.96307744375
