title,price,image,name,address,link,transportation,bed,bath,latitude,longitude
1 bedroom studio premium,459,https://www.dwellstudent.com.au/wp-content/uploads/2019/10/5-bed-living-room-600x353-deluxe.jpg,dwell,"5-17 flemington road, north melbourne, vic - 3051, australia",https://www.dwellstudent.com.au/melbourne/#rooms,"5 min tram, 15 min walk",1,1,-37.7966706,144.9511786
1 bedroom studio premium plus,479,https://www.dwellstudent.com.au/wp-content/uploads/2019/10/5-bed-living-room-600x353-deluxe.jpg,dwell,"5-17 flemington road, north melbourne, vic - 3051, australia",https://www.dwellstudent.com.au/melbourne/#rooms,"5 min tram, 15 min walk",1,1,-37.7966706,144.9511786
1 bedroom apartment,529,https://www.dwellstudent.com.au/wp-content/uploads/2019/10/5-bed-living-room-600x353-deluxe.jpg,dwell,"5-17 flemington road, north melbourne, vic - 3051, australia",https://www.dwellstudent.com.au/melbourne/#rooms,"5 min tram, 15 min walk",1,1,-37.7966706,144.9511786
queen bed - standard,269,https://image-tc.galaxy.tf/wijpeg-1ixp0jyz7yn92t0h4b9vq8t5r/wide.jpg?crop=5%2c0%2c711%2c400,unilodge carlton,"609 swanston street, carlton victoria 3053 australia",https://www.reserve.unilodge.com.au/categoryinfo.html?category=382,6-minute walk,1,1,-37.80406590625,144.96307744375
single bed - standard,269,https://image-tc.galaxy.tf/wijpeg-70pztniido0jw7r2b5rxomrq/wide.jpg?crop=5%2c0%2c711%2c400,unilodge carlton,"609 swanston street, carlton victoria 3053 australia",https://www.reserve.unilodge.com.au/categoryinfo.html?category=382,6-minute walk,1,1,-37.80406590625,144.96307744375
1 bedroom apartment - standard,285,https://image-tc.galaxy.tf/wijpeg-br3qxv9j7zf3ckj9wpi5sopg7/wide.jpg?crop=0%2c53%2c1024%2c576,570 swanston,"570 swanston st, carlton vic 3053, australia",https://www.reserve.unilodge.com.au/categoryinfo.html?category=69,4-minute walk,1,1,-37.8033718,144.9639415343567
2 bedroom apartment - standard,320,https://image-tc.galaxy.tf/wijpeg-dqk5jil81r5vxcjehwn1emx1c/wide.jpg?crop=0%2c42%2c800%2c450,570 swanston,"570 swanston st, carlton vic 3053, australia",https://www.reserve.unilodge.com.au/categoryinfo.html?category=70,4-minute walk,2,1,-37.8033718,144.9639415343567
2 bedroom apartment - medium,340,https://image-tc.galaxy.tf/wijpeg-dqk5jil81r5vxcjehwn1emx1c/wide.jpg?crop=0%2c42%2c800%2c450,570 swanston,"570 swanston st, carlton vic 3053, australia",https://www.reserve.unilodge.com.au/categoryinfo.html?category=70,4-minute walk,2,1,-37.8033718,144.9639415343567
2 bedroom apartment - large,355,https://image-tc.galaxy.tf/wijpeg-dqk5jil81r5vxcjehwn1emx1c/wide.jpg?crop=0%2c42%2c800%2c450,570 swanston,"570 swanston st, carlton vic 3053, australia",https://www.reserve.unilodge.com.au/categoryinfo.html?category=70,4-minute walk,2,1,-37.8033718,144.9639415343567
3 bedroom apartment - standard,445,https://image-tc.galaxy.tf/wijpeg-7b1iabbnxt4i0nb6hpkwuftqg/wide.jpg?crop=0%2c53%2c1024%2c576,570 swanston,"570 swanston st, carlton vic 3053, australia",https://www.reserve.unilodge.com.au/categoryinfo.html?category=71,4-minute walk,3,1,-37.8033718,144.9639415343567
6 bedroom apartment - regular,199,https://image-tc.galaxy.tf/wijpeg-4wrik6sohjn7xeze1wfcfsl2y/wide.jpg?crop=0%2c53%2c1024%2c576,unilodge victoria,"101 ballarat rd, footscray vic 3011, australia",https://www.reserve.unilodge.com.au/categoryinfo.html?category=68,about 24 min public transport,6,2,-37.7935389,144.8966488
studio apartments - regular,from 150,https://image-tc.galaxy.tf/wijpeg-7r3e5osm0utdmobnad97z6th9/wide.jpg?crop=0%2c0%2c1600%2c900,unilodge victoria,"101 ballarat rd, footscray vic 3011, australia",https://www.reserve.unilodge.com.au/categoryinfo.html?category=66#room9436,about 24 min public transport,1,1,-37.7935389,144.8966488
studio apartments - delux,from 150,https://image-tc.galaxy.tf/wijpeg-2ykwtr5lpvcnr1lgliaolwlg9/wide.jpg?crop=0%2c0%2c1600%2c900,unilodge victoria,"101 ballarat rd, footscray vic 3011, australia",https://www.reserve.unilodge.com.au/categoryinfo.html?category=66#room9436,about 24 min public transport,1 double bed,1,-37.7935389,144.8966488
studio apartments - accessible,from 150,https://image-tc.galaxy.tf/wijpeg-ebfm537cmd11ydagj75p3njrc/wide.jpg?crop=0%2c77%2c1600%2c900,unilodge victoria,"101 ballarat rd, footscray vic 3011, australia",https://www.reserve.unilodge.com.au/categoryinfo.html?category=66#room9436,about 24 min public transport,1 queen bed,1,-37.7935389,144.8966488
