comment
"No major problem. Had a nice stay"
"The refurbished flats are just amazing. The living and the kitchen space is decent and the room size isgreat too. Its very well located, very close to the university and the town."
"one of best student accommodation I have stayed in. Its a contemporaryaccommodation with all the facilities available a student might need. The staff is excellent, they take careof your smallest needs. I enjoyed my time here and made some great friends."
"Its a very cool place to stay. The rooms are spacious enough, the staff is great. They are always willing tohelp. The commute to the university is easy, overall I really love this place"
