comment
"Superb"
"Could have been better\n\nLocation was good.\nBooking was made online but rang and spoke with mangers twice about the girls being 17 with no one over 18 staying with them. A couple of days before they were due to arrive an email was received to ..."
"An amazing place at center..."
"Beautiful place to stay in...\n\nThe apartment was very nice and comfortable. The heated swimming pool was fantastic!!! The staff was very friendly and always wiling to solve any problem that we had.\nThe access to the wifi service was not easy to use. Apparently, it was prepared to be used through a computer more than from the phone or on the TV."
"Overall good. Will defo come...\n\nMovie room and pool. The room in the new building is clean.\nThere was a bit of confusion when we were about to check-in. The staff told us that they're only giving us 1 room and if we want another one, we need to pay for it. I showed her the booking ..."
"It was excellent overall and...\n\nThe pool and the gym were fantastic. The location was so convenient and close to the city. The little village was just so cute and clean aswell especially for affordable accommodation!\nReception was a bit confusing. We arrived for check in around 8pm and had to call after hours to have someone come out to meet us, and when we left, there was no one in reception yet and no one ..."
"Good"
"Very convenient\n\nGreat location. Ease of checking in and out. Good value\nThere was no dish washing liquid or cloths to clean dishes"
"Superb"
